z,mu
0.03212,35.8562
0.03212,35.8577
0.03183,35.8808
0.03183,35.6656
0.03189,35.9082
0.03246,35.6638
0.03246,35.6366
0.03246,35.6431
0.0337,35.6329
0.03337,35.8381
0.03212,35.7248
0.03212,35.7992
0.0325,35.7324
0.0325,35.8907
0.03314,35.6164
0.03245,35.6643
0.03245,35.7268
0.03336,35.8159
0.03292,35.8647
0.03292,35.8516
0.03309,35.7797
0.03344,35.829
0.03316,36.0229
0.03323,35.8276
0.0331,35.9089
0.03432,35.7587
0.03352,35.9188
0.03352,35.9378
0.03565,35.7837
0.03533,35.825
0.0337,35.9757
0.03481,35.7348
0.0341,35.8566
0.03351,35.9118
0.03492,35.8816
0.03574,35.8937
0.03369,35.8012
0.03369,35.8038
0.03497,35.8349
0.03445,35.861
0.03518,35.9905
0.03542,36.234
0.03495,35.9591
0.03495,36.1545
0.03564,35.9325
0.03501,35.5515
0.03592,35.9909
0.03544,35.8586
0.03602,36.1845
0.03577,36.0035
0.03643,35.9282
0.03643,35.8836
0.03725,36.0748
0.03631,35.8056
0.03631,35.9287
0.03616,36.0695
0.03654,36.08
0.03591,35.9637
0.03646,36.0475
0.03627,36.0067
0.03627,35.9927
0.03589,35.8698
0.03704,35.9789
0.03639,35.949
0.03652,36.3333
0.03652,36.2185
0.03761,36.0063
0.03672,36.0624
0.03641,36.0889
0.03732,35.8938
0.03732,35.8617
0.0379,36.1141
0.03762,36.5177
0.0394,36.2254
0.03748,36.2564
0.03835,36.0125
0.03832,36.026
0.03871,36.0125
0.038,36.1962
0.03928,36.2125
0.03996,36.284
0.03891,36.5486
0.04015,36.0167
0.04015,36.0818
0.03975,35.9918
0.04056,36.1263
0.04045,36.4104
0.04027,36.0403
0.04059,36.3153
0.04023,36.5601
0.0428,36.2101
0.04239,36.5106
0.04223,36.2931
0.04251,35.9138
0.0413,36.2521
0.0413,36.2071
0.04265,36.2018
0.04252,36.2457
0.04328,36.4165
0.04275,36.2137
0.04275,36.2882
0.04391,36.2594
0.04307,36.3298
0.04404,36.5469
0.04397,36.2916
0.0451,36.551
0.04366,36.5114
0.04429,36.4565
0.04433,36.6866
0.04502,36.4541
0.04496,36.4634
0.04496,36.5139
0.04488,36.1579
0.04549,36.3811
0.04627,36.2636
0.04612,36.5394
0.04541,36.3247
0.04673,36.5081
0.0467,36.4713
0.04692,36.4786
0.04692,36.4857
0.04764,36.7582
0.04677,36.5642
